# trial	val_error	data_loss	pde_loss	lr	weight_decay	lambda_data	lambda_pde	hidden_channels	num_layers
0	2.429993e-01	3.875114e-04	5.733875e-06	5.611516e-04	7.114476e-04	5.395031e-03	3.968793e-01	44	3
1	8.858562e-01	3.810283e-03	2.840940e-06	1.306674e-04	3.967605e-04	3.991306e-03	5.105903e-01	33	7
2	5.044802e-02	5.106329e-06	1.148397e-06	4.622589e-03	4.335282e-06	1.519935e-03	1.525473e-01	60	5
3	4.961797e-02	1.342705e-05	1.047532e-06	7.309540e-04	7.476312e-06	4.091221e-03	1.378776e-01	58	4
4	2.286625e-01	1.006814e-04	4.557455e-06	8.168456e-04	2.267399e-04	1.583703e-03	3.267642e-01	109	3
5	5.143029e-02	4.093804e-06	5.966182e-06	1.640929e-03	3.247674e-06	1.161587e-03	8.889668e-01	239	7
6	5.155333e-02	1.694485e-05	1.942190e-06	4.066563e-04	1.963434e-06	4.833181e-03	2.755196e-01	41	5
7	5.359916e-01	6.346882e-04	7.678633e-06	1.171594e-04	5.345166e-04	1.814596e-03	4.597506e-01	61	5
8	4.276427e-02	2.399956e-05	4.326476e-06	1.239997e-03	3.585613e-06	9.323621e-03	5.958443e-01	226	7
9	4.814414e-01	3.442488e-04	2.115933e-06	1.569640e-03	5.829385e-04	1.226006e-03	1.570301e-01	35	4
10	4.870223e-02	3.993835e-05	6.555652e-06	7.767354e-03	2.630159e-05	9.322601e-03	8.800334e-01	248	6
11	4.969514e-02	3.200239e-05	7.343504e-06	9.099346e-03	3.112791e-05	9.611048e-03	9.939103e-01	254	6
12	4.919677e-02	3.184943e-05	5.040831e-06	3.505552e-03	2.009411e-05	9.920354e-03	6.654289e-01	178	6
13	6.570297e-02	3.791762e-05	5.436777e-06	7.702222e-03	8.661026e-05	6.897783e-03	6.722230e-01	137	6
14	5.264121e-02	1.016860e-05	4.835712e-06	2.716665e-04	1.160702e-05	2.797770e-03	6.742919e-01	170	7
15	3.580038e-02	1.363986e-05	1.273396e-06	2.896160e-03	1.134519e-06	7.271881e-03	2.255099e-01	192	6
16	4.016457e-02	1.562150e-05	1.629982e-06	2.107972e-03	1.049229e-06	6.829618e-03	2.294785e-01	87	7
17	3.711892e-02	1.309367e-05	1.339878e-06	2.780277e-03	1.569156e-06	6.614123e-03	2.218009e-01	90	6
18	4.214160e-02	7.337872e-06	1.380281e-06	3.063134e-03	1.110836e-06	3.008384e-03	2.021140e-01	113	6
19	7.251594e-02	4.536721e-05	9.516743e-07	4.932733e-03	8.287154e-05	6.854355e-03	1.026412e-01	80	4
20	4.020137e-02	5.131692e-06	1.173140e-06	2.504042e-03	1.953022e-06	2.282392e-03	2.077079e-01	182	5
21	3.950267e-02	1.411461e-05	1.778910e-06	2.070346e-03	1.077788e-06	6.409035e-03	2.518410e-01	92	7
22	4.562019e-02	1.640814e-05	2.197731e-06	4.903459e-03	1.889096e-06	5.843408e-03	2.883940e-01	111	6
23	4.645671e-02	2.198384e-05	1.771845e-06	1.114236e-03	6.959120e-06	7.578783e-03	2.392019e-01	77	6
24	4.193721e-02	1.025234e-05	1.354549e-06	2.250194e-03	1.095389e-06	4.265197e-03	1.847645e-01	140	7
25	3.854252e-02	1.207214e-05	2.176078e-06	3.719745e-03	2.198247e-06	5.724454e-03	3.616857e-01	101	6
26	4.087424e-02	1.904388e-05	2.624196e-06	3.685799e-03	2.660529e-06	8.232340e-03	3.565353e-01	146	6
27	4.488635e-02	1.489088e-05	8.809094e-07	5.601486e-03	5.904512e-06	5.232865e-03	1.232997e-01	70	5
28	4.954818e-02	1.212107e-05	2.710555e-06	3.042183e-03	9.131914e-06	3.705033e-03	3.753567e-01	97	5
29	4.704367e-02	1.633927e-05	2.283316e-06	6.823164e-03	1.334726e-05	5.493991e-03	3.035152e-01	203	6
30	6.414235e-02	2.542089e-05	3.540483e-06	1.609638e-03	5.958501e-05	4.818199e-03	4.464464e-01	44	6
31	3.925083e-02	1.373735e-05	1.685813e-06	2.025762e-03	1.570097e-06	6.100663e-03	2.591127e-01	96	7
32	4.145204e-02	1.911052e-05	1.367901e-06	4.027213e-03	1.965759e-06	8.064475e-03	1.855733e-01	103	7
33	4.530704e-02	1.640024e-05	1.907976e-06	2.976091e-03	4.734129e-06	5.919989e-03	2.525806e-01	118	6
34	4.502278e-02	9.222810e-06	1.185264e-06	1.340930e-03	1.588923e-06	3.358643e-03	1.626925e-01	127	7
35	4.463571e-02	1.271286e-05	2.202603e-06	7.556770e-04	2.901059e-06	4.684568e-03	3.286344e-01	68	6
36	1.229757e-01	1.554540e-04	7.876781e-06	1.733085e-04	4.655790e-06	8.315976e-03	4.151783e-01	51	3
37	4.056553e-02	1.405992e-05	1.781646e-06	5.243508e-04	1.468563e-06	6.139296e-03	2.674217e-01	157	7
38	4.365230e-02	1.946280e-05	1.602235e-06	9.936638e-04	2.437859e-06	7.478580e-03	2.182549e-01	82	7
39	1.347706e-01	9.111974e-05	3.760158e-06	1.809393e-03	2.836991e-04	4.126650e-03	3.356788e-01	69	5
40	4.288850e-02	1.397216e-05	9.043195e-07	5.962468e-03	3.831273e-06	5.200078e-03	1.377475e-01	99	5
41	4.003367e-02	1.414184e-05	1.799267e-06	2.428326e-03	1.454028e-06	6.358369e-03	2.682435e-01	89	7
42	4.022096e-02	1.501194e-05	1.199270e-06	1.807398e-03	1.354074e-06	6.578169e-03	1.816047e-01	57	7
43	4.119009e-02	1.984663e-05	1.826377e-06	2.694100e-03	2.538091e-06	8.548553e-03	2.415609e-01	123	7
44	3.801211e-02	1.512446e-05	1.802240e-06	3.682616e-03	1.038426e-06	7.343615e-03	3.041686e-01	92	6
45	3.802752e-02	1.527954e-05	2.354239e-06	3.925403e-03	2.045650e-06	7.386296e-03	3.841116e-01	74	6
46	1.943590e-01	3.384342e-04	5.508664e-06	4.385842e-03	9.543684e-04	7.412290e-03	5.195556e-01	75	6
47	4.470418e-02	2.341587e-05	2.883334e-06	9.180088e-03	3.224635e-06	8.670584e-03	3.837109e-01	62	6
48	3.942870e-02	1.636405e-05	2.985304e-06	3.671839e-03	2.241889e-06	7.433370e-03	5.190135e-01	51	5
49	4.393895e-02	2.429204e-05	2.390877e-06	5.987406e-03	4.382490e-06	9.293341e-03	3.107428e-01	85	6
