# trial	val_error	data_loss	pde_loss	lr	weight_decay	lambda_data	lambda_pde	hidden_channels	num_layers
0	2.43E-01	7.18E-02	1.44E-05	5.61E-04	7.11E-04	5.40E-03	3.97E-01	44	3
1	8.86E-01	9.55E-01	5.56E-06	1.31E-04	3.97E-04	3.99E-03	5.11E-01	33	7
2	5.04E-02	3.36E-03	7.53E-06	4.62E-03	4.34E-06	1.52E-03	1.53E-01	60	5
3	4.96E-02	3.28E-03	7.60E-06	7.31E-04	7.48E-06	4.09E-03	1.38E-01	58	4
4	2.29E-01	6.36E-02	1.39E-05	8.17E-04	2.27E-04	1.58E-03	3.27E-01	109	3
5	5.14E-02	3.52E-03	6.71E-06	1.64E-03	3.25E-06	1.16E-03	8.89E-01	239	7
6	5.16E-02	3.51E-03	7.05E-06	4.07E-04	1.96E-06	4.83E-03	2.76E-01	41	5
7	5.36E-01	3.50E-01	1.67E-05	1.17E-04	5.35E-04	1.81E-03	4.60E-01	61	5
8	4.28E-02	2.57E-03	7.26E-06	1.24E-03	3.59E-06	9.32E-03	5.96E-01	226	7
9	4.81E-01	2.81E-01	1.35E-05	1.57E-03	5.83E-04	1.23E-03	1.57E-01	35	4
10	4.87E-02	4.28E-03	7.45E-06	7.77E-03	2.63E-05	9.32E-03	8.80E-01	248	6
11	4.97E-02	3.33E-03	7.39E-06	9.10E-03	3.11E-05	9.61E-03	9.94E-01	254	6
12	4.92E-02	3.21E-03	7.58E-06	3.51E-03	2.01E-05	9.92E-03	6.65E-01	178	6
13	6.57E-02	5.50E-03	8.09E-06	7.70E-03	8.66E-05	6.90E-03	6.72E-01	137	6
14	5.26E-02	3.63E-03	7.17E-06	2.72E-04	1.16E-05	2.80E-03	6.74E-01	170	7
15	3.58E-02	1.88E-03	5.65E-06	2.90E-03	1.13E-06	7.27E-03	2.26E-01	192	6
16	4.02E-02	2.29E-03	7.10E-06	2.11E-03	1.05E-06	6.83E-03	2.29E-01	87	7
17	3.71E-02	1.98E-03	6.04E-06	2.78E-03	1.57E-06	6.61E-03	2.22E-01	90	6
18	4.21E-02	2.44E-03	6.83E-06	3.06E-03	1.11E-06	3.01E-03	2.02E-01	113	6
19	7.25E-02	6.62E-03	9.27E-06	4.93E-03	8.29E-05	6.85E-03	1.03E-01	80	4
20	4.02E-02	2.25E-03	5.65E-06	2.50E-03	1.95E-06	2.28E-03	2.08E-01	182	5
21	3.95E-02	2.20E-03	7.06E-06	2.07E-03	1.08E-06	6.41E-03	2.52E-01	92	7
