Column_Data_00
    step        time[-]    v_max[-]  ItrD Divergence[max]  ItrP         r_x    deltaP_P        rmsP       avrP       rmsV     time[sec]
       1   6.250000e-03  0.0000e+00   100     1.61372e-04   790  6.9992e-05  1.3337e-04   4.206e+00 -6.633e-20  0.000e+00  6.830033e-02
       2   1.250000e-02  1.2014e-02   100     1.56827e-04   148  6.6101e-05  1.2593e-04   1.434e-01  2.926e-08  5.117e+00  2.604257e-02
       3   1.875000e-02  2.3775e-02   100     1.06260e-04   103  3.3562e-05  6.3959e-05   5.571e-02  1.178e-07  7.226e+00  4.197804e-02
       4   2.500000e-02  3.5305e-02   100     1.18869e-04   102  2.8185e-05  5.4199e-05   4.395e-02  2.732e-07  8.827e+00  3.963228e-02
       5   3.125000e-02  4.6617e-02   100     1.91236e-04   107  5.7478e-05  1.0985e-04   6.823e-02  4.939e-07  1.016e+01  4.709150e-02
       6   3.750000e-02  5.7722e-02   100     1.82156e-04   134  6.4872e-05  1.2376e-04   9.498e-02  7.793e-07  1.131e+01  4.158649e-02
       7   4.375000e-02  6.8629e-02   100     1.70432e-04   106  6.0576e-05  1.1563e-04   6.523e-02  1.112e-06  1.233e+01  3.985763e-02
       8   5.000000e-02  7.9337e-02   100     1.52308e-04   103  5.0123e-05  9.5774e-05   5.282e-02  1.510e-06  1.325e+01  2.530881e-02
       9   5.625000e-02  8.9848e-02   100     1.32985e-04   102  3.9603e-05  7.5784e-05   4.278e-02  1.965e-06  1.410e+01  2.838654e-02
      10   6.250000e-02  1.0016e-01   100     1.17390e-04   102  3.2628e-05  6.2534e-05   3.679e-02  2.471e-06  1.488e+01  4.795790e-02
      11   6.875000e-02  1.1029e-01   100     1.09081e-04   102  2.9747e-05  5.7052e-05   3.413e-02  3.025e-06  1.561e+01  4.228612e-02
      12   7.500000e-02  1.2023e-01   100     1.08453e-04   102  3.0196e-05  5.7891e-05   3.401e-02  3.627e-06  1.630e+01  6.130848e-02
      13   8.125000e-02  1.2998e-01   100     1.13068e-04   102  3.2914e-05  6.3046e-05   3.572e-02  4.274e-06  1.695e+01  4.389181e-02
      14   8.750000e-02  1.3955e-01   100     1.19153e-04   102  3.6316e-05  6.9508e-05   3.809e-02  4.963e-06  1.756e+01  4.452660e-02
      15   9.375000e-02  1.4895e-01   100     1.22442e-04   103  3.8673e-05  7.3984e-05   4.009e-02  5.693e-06  1.815e+01  4.262338e-02
      16   1.000000e-01  1.5818e-01   100     1.22510e-04   103  3.9366e-05  7.5301e-05   4.030e-02  6.461e-06  1.870e+01  4.276923e-02
      17   1.062500e-01  1.6724e-01   100     1.19644e-04   103  3.8585e-05  7.3812e-05   3.936e-02  7.264e-06  1.923e+01  4.130368e-02
      18   1.125000e-01  1.7613e-01   100     1.15149e-04   103  3.6998e-05  7.0791e-05   3.781e-02  8.102e-06  1.974e+01  4.236459e-02
      19   1.187500e-01  1.8487e-01   100     1.10539e-04   103  3.5345e-05  6.7644e-05   3.626e-02  8.971e-06  2.022e+01  2.373738e-02
      20   1.250000e-01  1.9344e-01   100     1.06899e-04   103  3.4137e-05  6.5344e-05   3.510e-02  9.871e-06  2.069e+01  4.971786e-02
      21   1.312500e-01  2.0186e-01   100     1.04628e-04   103  3.3560e-05  6.4244e-05   3.445e-02  1.080e-05  2.113e+01  4.424046e-02
      22   1.375000e-01  2.1013e-01   100     1.02665e-04   104  3.3355e-05  6.3845e-05   3.441e-02  1.175e-05  2.156e+01  4.475941e-02
      23   1.437500e-01  2.1825e-01   100     1.01618e-04   104  3.3432e-05  6.3987e-05   3.422e-02  1.273e-05  2.198e+01  4.220903e-02
      24   1.500000e-01  2.2623e-01   100     1.00980e-04   104  3.3610e-05  6.4325e-05   3.413e-02  1.373e-05  2.238e+01  4.270511e-02
      25   1.562500e-01  2.3406e-01   100     1.00298e-04   104  3.3723e-05  6.4539e-05   3.401e-02  1.476e-05  2.278e+01  4.073180e-02
      26   1.625000e-01  2.4175e-01    99     9.93341e-05   104  3.3684e-05  6.4463e-05   3.378e-02  1.580e-05  2.316e+01  4.334036e-02
      27   1.687500e-01  2.4930e-01    97     9.97502e-05   102  3.3834e-05  6.4760e-05   3.305e-02  1.687e-05  2.353e+01  2.348964e-02
      28   1.750000e-01  2.5672e-01    97     9.94630e-05   102  3.3939e-05  6.4963e-05   3.299e-02  1.795e-05  2.389e+01  4.726064e-02
      29   1.812500e-01  2.6401e-01    96     9.94117e-05   101  3.4081e-05  6.5241e-05   3.260e-02  1.904e-05  2.425e+01  4.109668e-02
      30   1.875000e-01  2.7118e-01    95     9.96056e-05   100  3.4301e-05  6.5666e-05   3.227e-02  2.015e-05  2.459e+01  3.963392e-02
      31   1.937500e-01  2.7822e-01    94     9.99967e-05    99  3.4599e-05  6.6241e-05   3.199e-02  2.128e-05  2.492e+01  4.062719e-02
      32   2.000000e-01  2.8514e-01    93     9.96344e-05    99  3.4774e-05  6.6575e-05   3.195e-02  2.242e-05  2.525e+01  4.880944e-02
      33   2.062500e-01  2.9193e-01    92     9.96133e-05    98  3.4946e-05  6.6908e-05   3.157e-02  2.357e-05  2.557e+01  5.406139e-02
      34   2.125000e-01  2.9861e-01    91     9.99120e-05    97  3.5177e-05  6.7355e-05   3.125e-02  2.473e-05  2.588e+01  2.291468e-02
      35   2.187500e-01  3.0517e-01    91     9.95251e-05    97  3.5296e-05  6.7585e-05   3.118e-02  2.590e-05  2.618e+01  4.029462e-02
      36   2.250000e-01  3.1162e-01    90     9.95473e-05    96  3.5443e-05  6.7872e-05   3.080e-02  2.707e-05  2.648e+01  3.977049e-02
      37   2.312500e-01  3.1795e-01    89     9.99313e-05    95  3.5684e-05  6.8341e-05   3.050e-02  2.826e-05  2.677e+01  4.048837e-02
      38   2.375000e-01  3.2418e-01    89     9.96351e-05    95  3.5838e-05  6.8637e-05   3.045e-02  2.945e-05  2.705e+01  2.307410e-02
      39   2.437500e-01  3.3030e-01    88     9.97771e-05    94  3.6037e-05  6.9024e-05   3.011e-02  3.065e-05  2.733e+01  3.995672e-02
      40   2.500000e-01  3.3631e-01    88     9.93521e-05    94  3.6145e-05  6.9231e-05   3.003e-02  3.185e-05  2.760e+01  3.787571e-02
      41   2.562500e-01  3.4221e-01    87     9.94683e-05    93  3.6317e-05  6.9566e-05   2.968e-02  3.306e-05  2.787e+01  3.857672e-02
      42   2.625000e-01  3.4802e-01    87     9.90749e-05    93  3.6419e-05  6.9763e-05   2.960e-02  3.427e-05  2.813e+01  2.627810e-02
      43   2.687500e-01  3.5372e-01    86     9.92608e-05    92  3.6604e-05  7.0124e-05   2.926e-02  3.549e-05  2.838e+01  3.795831e-02
      44   2.750000e-01  3.5933e-01    85     9.98940e-05    91  3.6923e-05  7.0744e-05   2.902e-02  3.670e-05  2.863e+01  3.907289e-02
      45   2.812500e-01  3.6484e-01    85     9.98234e-05    91  3.7166e-05  7.1211e-05   2.902e-02  3.792e-05  2.887e+01  3.753623e-02
      46   2.875000e-01  3.7026e-01    85     9.92251e-05    91  3.7254e-05  7.1379e-05   2.892e-02  3.915e-05  2.911e+01  2.110910e-02
      47   2.937500e-01  3.7559e-01    83     9.92858e-05    90  3.7396e-05  7.1657e-05   2.856e-02  4.037e-05  2.935e+01  4.674095e-02
      48   3.000000e-01  3.8084e-01    82     9.98722e-05    89  3.7680e-05  7.2211e-05   2.830e-02  4.159e-05  2.958e+01  3.731135e-02
      49   3.062500e-01  3.8601e-01    82     9.98031e-05    89  3.7906e-05  7.2646e-05   2.830e-02  4.281e-05  2.981e+01  3.958692e-02
      50   3.125000e-01  3.9111e-01    82     9.92465e-05    89  3.7995e-05  7.2816e-05   2.820e-02  4.403e-05  3.003e+01  2.047802e-02
      51   3.187500e-01  3.9612e-01    81     9.93887e-05    88  3.8156e-05  7.3133e-05   2.787e-02  4.525e-05  3.024e+01  4.490091e-02
      52   3.250000e-01  4.0105e-01    81     9.90600e-05    88  3.8266e-05  7.3346e-05   2.780e-02  4.647e-05  3.046e+01  3.723612e-02
      53   3.312500e-01  4.0590e-01    80     9.93991e-05    87  3.8490e-05  7.3784e-05   2.751e-02  4.768e-05  3.067e+01  3.627038e-02
      54   3.375000e-01  4.1067e-01    80     9.92126e-05    87  3.8667e-05  7.4126e-05   2.748e-02  4.890e-05  3.087e+01  2.104469e-02
      55   3.437500e-01  4.1536e-01    79     9.96469e-05    86  3.8946e-05  7.4668e-05   2.721e-02  5.011e-05  3.107e+01  1.891461e-01
      56   3.500000e-01  4.1998e-01    79     9.94948e-05    86  3.9154e-05  7.5068e-05   2.719e-02  5.132e-05  3.127e+01  5.117826e-02
      57   3.562500e-01  4.2451e-01    78     9.99362e-05    85  3.9443e-05  7.5631e-05   2.692e-02  5.252e-05  3.147e+01  4.283147e-02
      58   3.625000e-01  4.2898e-01    78     9.97682e-05    85  3.9648e-05  7.6024e-05   2.691e-02  5.372e-05  3.166e+01  3.845010e-02
      59   3.687500e-01  4.3337e-01    78     9.91623e-05    85  3.9710e-05  7.6144e-05   2.681e-02  5.492e-05  3.185e+01  2.025054e-02
      60   3.750000e-01  4.3819e-01    77     9.93397e-05    84  3.9863e-05  7.6448e-05   2.649e-02  5.611e-05  3.203e+01  4.074225e-02
      61   3.812500e-01  4.4320e-01    77     9.90530e-05    84  3.9976e-05  7.6667e-05   2.644e-02  5.730e-05  3.221e+01  4.219545e-02
      62   3.875000e-01  4.4813e-01    76     9.94734e-05    83  4.0221e-05  7.7147e-05   2.617e-02  5.849e-05  3.239e+01  4.416387e-02
      63   3.937500e-01  4.5301e-01    76     9.93379e-05    83  4.0422e-05  7.7534e-05   2.615e-02  5.967e-05  3.257e+01  4.615181e-02
      64   4.000000e-01  4.5782e-01    75     9.98404e-05    82  4.0731e-05  7.8135e-05   2.591e-02  6.084e-05  3.274e+01  5.096677e-02
      65   4.062500e-01  4.6257e-01    75     9.97203e-05    82  4.0964e-05  7.8583e-05   2.590e-02  6.201e-05  3.291e+01  3.780958e-02
      66   4.125000e-01  4.6726e-01    75     9.91442e-05    82  4.1051e-05  7.8749e-05   2.582e-02  6.317e-05  3.308e+01  1.881523e-02
      67   4.187500e-01  4.7188e-01    74     9.93585e-05    81  4.1228e-05  7.9098e-05   2.553e-02  6.433e-05  3.324e+01  2.956649e-02
