Column_Data_00
    step      time[sec]  v_max[m/s]  ItrD Divergence[max]  ItrP         r_x    deltaP_P        rmsP       avrP       rmsV       rmsE       avrE     time[sec]
       1   6.250000e-03  0.0000e+00     1     0.00000e+00     1  0.0000e+00  0.0000e+00   0.000e+00  0.000e+00  0.000e+00  9.041e-03  8.000e-01  2.066647e-03
       2   1.250000e-02  0.0000e+00    15     8.85280e-05   750  1.1019e-04  2.0996e-04   1.559e+00  0.000e+00  0.000e+00  9.038e-03  8.000e-01  5.131592e-02
       3   1.875000e-02  9.8637e-05     3     9.90211e-05   150  1.1747e-04  2.2385e-04   7.480e-02 -4.325e-13  6.740e-01  9.034e-03  8.000e-01  2.047363e-02
       4   2.500000e-02  1.7230e-04     1     8.92976e-05    50  1.0501e-04  2.0008e-04   1.847e-02  1.085e-11  8.233e-01  9.030e-03  8.000e-01  2.881585e-03
       5   3.125000e-02  2.3358e-04     1     8.90289e-05     3  9.8265e-05  1.9107e-04   2.756e-03  1.675e-11  9.230e-01  9.026e-03  8.000e-01  1.073111e-03
       6   3.750000e-02  2.8725e-04     1     7.47065e-05     3  8.1533e-05  1.5580e-04   2.161e-03  2.714e-11  1.008e+00  9.022e-03  7.999e-01  2.491226e-02
       7   4.375000e-02  3.3539e-04     1     6.17279e-05     3  6.6719e-05  1.2590e-04   1.766e-03  4.218e-11  1.086e+00  9.018e-03  7.999e-01  1.317081e-03
       8   5.000000e-02  3.7947e-04     1     4.78613e-05     3  5.1851e-05  9.7261e-05   1.492e-03  6.055e-11  1.161e+00  9.015e-03  7.999e-01  1.079551e-03
       9   5.625000e-02  4.2041e-04     1     3.24697e-05     3  3.6442e-05  6.8132e-05   1.284e-03  8.104e-11  1.230e+00  9.011e-03  7.999e-01  1.067635e-03
      10   6.250000e-02  4.5880e-04     1     3.30360e-05     2  8.6946e-05  1.6293e-04   1.127e-03  9.863e-11  1.295e+00  9.007e-03  7.999e-01  9.809220e-04
      11   6.875000e-02  4.9501e-04     1     2.35636e-05     2  7.5746e-05  1.4104e-04   1.004e-03  1.173e-10  1.357e+00  9.003e-03  7.999e-01  5.305362e-03
      12   7.500000e-02  5.2941e-04     1     3.29147e-05     2  7.0115e-05  1.3012e-04   9.232e-04  1.365e-10  1.419e+00  8.999e-03  7.999e-01  2.650411e-03
      13   8.125000e-02  5.6224e-04     1     4.40946e-05     2  6.9524e-05  1.2911e-04   8.684e-04  1.554e-10  1.493e+00  8.996e-03  7.999e-01  1.070541e-03
      14   8.750000e-02  5.9369e-04     1     5.56554e-05     2  7.3375e-05  1.3678e-04   8.370e-04  1.734e-10  1.568e+00  8.992e-03  7.999e-01  1.147622e-03
      15   9.375000e-02  6.2393e-04     1     6.66762e-05     2  8.0459e-05  1.5066e-04   8.264e-04  1.896e-10  1.639e+00  8.988e-03  7.999e-01  1.245604e-03
      16   1.000000e-01  6.5316e-04     1     7.71707e-05     2  8.9522e-05  1.6830e-04   8.332e-04  2.036e-10  1.706e+00  8.984e-03  7.999e-01  9.818687e-04
      17   1.062500e-01  6.8151e-04     1     8.71381e-05     2  9.9588e-05  1.8778e-04   8.534e-04  2.146e-10  1.771e+00  8.980e-03  7.999e-01  9.645021e-04
      18   1.125000e-01  7.0899e-04     1     9.17334e-05     3  9.9696e-05  1.9045e-04   1.119e-03  2.235e-10  1.833e+00  8.977e-03  7.998e-01  2.087947e-02
      19   1.187500e-01  7.3569e-04     1     8.70436e-05    30  9.9835e-05  1.9026e-04   9.958e-03  2.543e-10  1.893e+00  8.973e-03  7.998e-01  3.893401e-03
      20   1.250000e-01  7.6169e-04     1     8.33294e-05     3  9.8300e-05  1.8740e-04   1.089e-03  2.559e-10  1.944e+00  8.969e-03  7.998e-01  1.156751e-03
      21   1.312500e-01  7.8700e-04     1     8.09208e-05     3  9.5574e-05  1.8219e-04   1.055e-03  2.502e-10  1.993e+00  8.965e-03  7.998e-01  1.177976e-03
      22   1.375000e-01  8.1168e-04     1     8.08438e-05     2  9.9742e-05  1.8849e-04   7.909e-04  2.407e-10  2.041e+00  8.961e-03  7.998e-01  1.126086e-03
      23   1.437500e-01  8.3576e-04     1     7.71037e-05     2  9.5182e-05  1.7996e-04   7.523e-04  2.249e-10  2.087e+00  8.958e-03  7.998e-01  2.792766e-03
      24   1.500000e-01  8.5930e-04     1     7.31466e-05     2  9.0169e-05  1.7049e-04   7.183e-04  2.028e-10  2.131e+00  8.954e-03  7.998e-01  1.241459e-03
