Column_Data_00
    step      time[sec]         Q:X-         Q:X+         Q:Y-         Q:Y+         Q:Z-         Q:Z+ > Balance[m^3/s] :          H:X-         H:X+         H:Y-         H:Y+         H:Z-         H:Z+ >     Balance[W]
       1   6.250000e-03   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6730e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6730e+02
       2   1.250000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6725e+02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6725e+02
       3   1.875000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6720e+02   3.4468e-11   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6720e+02
       4   2.500000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6715e+02   7.3766e-11   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6715e+02
       5   3.125000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6711e+02   1.1011e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6711e+02
       6   3.750000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6706e+02   1.8415e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6706e+02
       7   4.375000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6701e+02   2.2091e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6701e+02
       8   5.000000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6697e+02   2.3448e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6697e+02
       9   5.625000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6692e+02   2.3948e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6692e+02
      10   6.250000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6687e+02   2.4172e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6687e+02
      11   6.875000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6682e+02   2.0115e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6682e+02
      12   7.500000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6678e+02   1.5780e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6678e+02
      13   8.125000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6673e+02   1.1257e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6673e+02
      14   8.750000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6668e+02   6.4455e-11   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6668e+02
      15   9.375000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6664e+02   1.2186e-11   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6664e+02
      16   1.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6659e+02  -4.5164e-11   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6659e+02
      17   1.062500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6654e+02  -1.0807e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6654e+02
      18   1.125000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6650e+02  -1.7662e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6650e+02
      19   1.187500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6645e+02  -2.2301e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6645e+02
      20   1.250000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6640e+02  -2.5778e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6640e+02
      21   1.312500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6635e+02  -2.8927e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6635e+02
      22   1.375000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6631e+02  -3.2145e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6631e+02
      23   1.437500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6626e+02  -3.7971e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6626e+02
      24   1.500000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6621e+02  -4.4202e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6621e+02
      25   1.562500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6617e+02  -5.0748e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6617e+02
      26   1.625000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6612e+02  -5.7498e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6612e+02
      27   1.687500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6607e+02  -6.4331e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6607e+02
      28   1.750000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6603e+02  -7.1113e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6603e+02
      29   1.812500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6598e+02  -7.7703e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6598e+02
      30   1.875000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6593e+02  -8.3960e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6593e+02
      31   1.937500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6589e+02  -8.9742e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6589e+02
      32   2.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6584e+02  -9.4918e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6584e+02
      33   2.062500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6579e+02  -9.9368e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6579e+02
      34   2.125000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6575e+02  -1.0299e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6575e+02
      35   2.187500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6570e+02  -1.0571e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6570e+02
      36   2.250000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6565e+02  -1.0746e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6565e+02
      37   2.312500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6561e+02  -1.0263e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6561e+02
      38   2.375000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6556e+02  -1.0199e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6556e+02
      39   2.437500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6551e+02  -9.5086e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6551e+02
      40   2.500000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6547e+02  -9.2396e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6547e+02
      41   2.562500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6542e+02  -8.3828e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6542e+02
      42   2.625000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6537e+02  -7.9444e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6537e+02
      43   2.687500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6533e+02  -7.4797e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6533e+02
      44   2.750000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6528e+02  -6.9839e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6528e+02
      45   2.812500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6524e+02  -6.4581e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6524e+02
      46   2.875000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6519e+02  -5.9046e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6519e+02
      47   2.937500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6514e+02  -5.3274e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6514e+02
      48   3.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6510e+02  -4.7317e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6510e+02
      49   3.062500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6505e+02  -4.1235e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6505e+02
      50   3.125000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6500e+02  -3.5087e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6500e+02
      51   3.187500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6496e+02  -2.8935e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6496e+02
      52   3.250000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6491e+02  -2.2839e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6491e+02
      53   3.312500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6486e+02  -1.6862e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6486e+02
      54   3.375000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6482e+02  -1.1069e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6482e+02
      55   3.437500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6477e+02  -5.5278e-11   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6477e+02
      56   3.500000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6473e+02  -3.0798e-12   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6473e+02
      57   3.562500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6468e+02   4.5204e-11   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6468e+02
      58   3.625000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6463e+02   8.8897e-11   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6463e+02
      59   3.687500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6459e+02   1.2737e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6459e+02
      60   3.750000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6454e+02   2.0018e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6454e+02
      61   3.812500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6450e+02   2.2950e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6450e+02
      62   3.875000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6445e+02   2.9032e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6445e+02
      63   3.937500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6440e+02   3.3133e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6440e+02
      64   4.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6436e+02   3.6564e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6436e+02
      65   4.062500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6431e+02   3.9217e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6431e+02
      66   4.125000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6426e+02   4.1035e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6426e+02
      67   4.187500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6422e+02   4.1980e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6422e+02
