Column_Data_00
    step        time[-]         Q:X-         Q:X+         Q:Y-         Q:Y+         Q:Z-         Q:Z+ > Balance[-]     : 
       1   2.000000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
       2   4.000000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
       3   6.000000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
       4   8.000000e-02   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
       5   1.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
       6   1.200000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
       7   1.400000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
       8   1.600000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
       9   1.800000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      10   2.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      11   2.200000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      12   2.400000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      13   2.600000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      14   2.800000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      15   3.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      16   3.200000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      17   3.400000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      18   3.600000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      19   3.800000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      20   4.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      21   4.200000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      22   4.400000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      23   4.600000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      24   4.800000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      25   5.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      26   5.200000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      27   5.400000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      28   5.600000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      29   5.800000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      30   6.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      31   6.200000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      32   6.400000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      33   6.600000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      34   6.800000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      35   7.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      36   7.200000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      37   7.400000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      38   7.600000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      39   7.800000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      40   8.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      41   8.200000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      42   8.400000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      43   8.600000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      44   8.800000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      45   9.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      46   9.200000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      47   9.400000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      48   9.600000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      49   9.800000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      50   1.000000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      51   1.020000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      52   1.040000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      53   1.060000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      54   1.080000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      55   1.100000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      56   1.120000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      57   1.140000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      58   1.160000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      59   1.180000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      60   1.200000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
      61   1.220000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 : 
